sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
88,14,Both,806379,"Mozilla/5.0 (iPhone CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",A2WUY69027WI43,zit0pesma5,19:24:57 Tue 01 Sep 15,107.77.70.54
89,84,Positive,729780,"Mozilla/5.0 (Windows NT 6.0 rv:40.0) Gecko/20100101 Firefox/40.0",A27LGC4MU1R7PQ,ibvd5fgcyzb,19:25:02 Tue 01 Sep 15,73.53.85.195
90,95,Both,697082,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AW20BA38TBP8O,t5fpak8yx5mf5hfr,19:25:09 Tue 01 Sep 15,68.83.220.231
91,98,Both,710597,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3RMV9ZGFJ0HHF,ors3cvszyh6ko6r,19:25:13 Tue 01 Sep 15,108.41.123.130
92,110,Both,661162,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2JCK494NV7TFX,sewaw06mohoos9k9,19:25:13 Tue 01 Sep 15,68.119.204.235
93,68,Both,770337,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A2P065E9CYMYJL,94ae4zmz4ei,19:25:15 Tue 01 Sep 15,98.244.46.243
94,60,Positive,788143,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A248ARSA6FS20S,ft9n5o8btwo5stt9,19:25:25 Tue 01 Sep 15,98.194.76.227
95,107,Both,712504,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AK37IEOYWN5YH,020g9iqisd8nz5mi,19:25:40 Tue 01 Sep 15,99.198.167.194
96,144,Positive,285594,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2YYQJ3JWA2KGD,h94pgwc4q1kk2o6r,19:25:41 Tue 01 Sep 15,108.69.208.182
97,44,Both,825457,"Mozilla/5.0 (Windows NT 6.1 WOW64 Trident/7.0 SLCC2 .NET CLR 2.0.50727 .NET CLR 3.5.30729 .NET CLR 3.0.30729 Media Center PC 6.0 .NET4.0C .NET4.0E GWX:QUALIFIED rv:11.0) like Gecko",A2GTJ0BD4CG1A2,bt9axbkzeq70,19:25:42 Tue 01 Sep 15,67.3.142.218
98,69,Positive,810480,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A1H6AZSS5DQ0KD,jzoe3vt2hy,19:25:55 Tue 01 Sep 15,76.176.145.151
